0.15838	145.403
6.98855	144.728
11.5416	143.87
15.2188	143.008
19.2463	142.148
31.8524	137.644
36.0539	135.735
39.0298	134.171
42.5307	132.259
45.8569	130.696
48.8332	129.482
52.3349	128.27
55.6614	127.057
58.813	126.019
61.9646	124.981
64.9413	124.117
67.7427	123.252
69.1434	122.732
70.8945	122.389
72.8206	121.871
75.4475	121.53
77.1991	121.537
80.0015	121.547
82.454	121.906
84.0306	122.086
85.6071	122.267
88.2352	122.976
90.1626	123.683
91.7399	124.564
93.3172	125.445
94.1934	125.798
96.1212	126.855
98.9255	128.614
101.729	129.849
104.358	131.259
107.337	132.844
110.667	134.781
112.42	135.662
113.646	136.017
116.626	137.777
119.079	139.011
121.007	140.243
123.11	141.3
125.388	142.358
127.492	143.591
129.945	144.825
132.223	146.058
134.677	147.116
136.78	148.524
